Datetime,Water Level (m)
2023-01-11 12:00:00,0.2727674
2023-01-11 13:00:00,0.41885334
2023-01-11 14:00:00,0.29824063
2023-01-11 15:00:00,0.10031809
2023-01-11 16:00:00,-0.112979725
2023-01-11 17:00:00,-0.329341
2023-01-11 18:00:00,-0.4993974
2023-01-11 19:00:00,-0.63503456
2023-01-11 20:00:00,-0.74469906
2023-01-11 21:00:00,-0.6804447
2023-01-11 22:00:00,-0.22040516
2023-01-11 23:00:00,0.115100086
2023-01-12 00:00:00,0.52812284
2023-01-12 01:00:00,0.70848846
2023-01-12 02:00:00,0.6394533
2023-01-12 03:00:00,0.39882585
2023-01-12 04:00:00,0.13658069
2023-01-12 05:00:00,-0.12911423
2023-01-12 06:00:00,-0.3525519
2023-01-12 07:00:00,-0.51315016
2023-01-12 08:00:00,-0.6522474
2023-01-12 09:00:00,-0.75048083
2023-01-12 10:00:00,-0.6106538
2023-01-12 11:00:00,-0.2254644
2023-01-12 12:00:00,0.06166568
2023-01-12 13:00:00,0.42019475
2023-01-12 14:00:00,0.5140953
2023-01-12 15:00:00,0.3940987
2023-01-12 16:00:00,0.15112394
2023-01-12 17:00:00,-0.08425157
2023-01-12 18:00:00,-0.31240568
2023-01-12 19:00:00,-0.48143658
2023-01-12 20:00:00,-0.6148883
2023-01-12 21:00:00,-0.6820873
2023-01-12 22:00:00,-0.41338655
2023-01-12 23:00:00,-0.06152316
2023-01-13 00:00:00,0.2681124
2023-01-13 01:00:00,0.60691214
2023-01-13 02:00:00,0.6607646
2023-01-13 03:00:00,0.5235321
2023-01-13 04:00:00,0.2721377
2023-01-13 05:00:00,0.023606652
2023-01-13 06:00:00,-0.22739176
2023-01-13 07:00:00,-0.41136053
2023-01-13 08:00:00,-0.56526893
2023-01-13 09:00:00,-0.6953453
2023-01-13 10:00:00,-0.7553056
2023-01-13 11:00:00,-0.46942982
2023-01-13 12:00:00,-0.1312198
2023-01-13 13:00:00,0.16526628
2023-01-13 14:00:00,0.45563087
2023-01-13 15:00:00,0.47226432
2023-01-13 16:00:00,0.3111396
2023-01-13 17:00:00,0.07694951
2023-01-13 18:00:00,-0.15490037
2023-01-13 19:00:00,-0.3580549
2023-01-13 20:00:00,-0.5125306
2023-01-13 21:00:00,-0.63109386
2023-01-13 22:00:00,-0.64744246
2023-01-13 23:00:00,-0.31782135
2023-01-14 00:00:00,-0.02562616
2023-01-14 01:00:00,0.3028307
2023-01-14 02:00:00,0.54674566
2023-01-14 03:00:00,0.53305906
2023-01-14 04:00:00,0.3534033
2023-01-14 05:00:00,0.1158402
2023-01-14 06:00:00,-0.12421031
2023-01-14 07:00:00,-0.3400785
2023-01-14 08:00:00,-0.5017083
2023-01-14 09:00:00,-0.639951
2023-01-14 10:00:00,-0.75117356
2023-01-14 11:00:00,-0.7386105
2023-01-14 12:00:00,-0.38465905
2023-01-14 13:00:00,-0.08806864
2023-01-14 14:00:00,0.2451971
2023-01-14 15:00:00,0.4782869
2023-01-14 16:00:00,0.4739499
2023-01-14 17:00:00,0.2970726
2023-01-14 18:00:00,0.06444116
2023-01-14 19:00:00,-0.16687067
2023-01-14 20:00:00,-0.36247468
2023-01-14 21:00:00,-0.5073771
2023-01-14 22:00:00,-0.6117471
2023-01-14 23:00:00,-0.588325
2023-01-15 00:00:00,-0.2983979
2023-01-15 01:00:00,-0.051835924
2023-01-15 02:00:00,0.2531965
2023-01-15 03:00:00,0.4397041
2023-01-15 04:00:00,0.40382117
2023-01-15 05:00:00,0.22104405
2023-01-15 06:00:00,0.004332099
2023-01-15 07:00:00,-0.22249797
2023-01-15 08:00:00,-0.41016918
2023-01-15 09:00:00,-0.55828047
2023-01-15 10:00:00,-0.68470573
2023-01-15 11:00:00,-0.7783147
2023-01-15 12:00:00,-0.7114886
2023-01-15 13:00:00,-0.3543911
2023-01-15 14:00:00,-0.06625977
2023-01-15 15:00:00,0.28786364
2023-01-15 16:00:00,0.4954164
2023-01-15 17:00:00,0.49753818
2023-01-15 18:00:00,0.327966
2023-01-15 19:00:00,0.09198164
2023-01-15 20:00:00,-0.13692112
2023-01-15 21:00:00,-0.33890978
2023-01-15 22:00:00,-0.48206007
2023-01-15 23:00:00,-0.5875125
2023-01-16 00:00:00,-0.6047077
2023-01-16 01:00:00,-0.3936206
2023-01-16 02:00:00,-0.1647292
2023-01-16 03:00:00,0.07872356
2023-01-16 04:00:00,0.2822118
2023-01-16 05:00:00,0.26929158
2023-01-16 06:00:00,0.11693626
2023-01-16 07:00:00,-0.08171251
2023-01-16 08:00:00,-0.2874985
2023-01-16 09:00:00,-0.4575096
2023-01-16 10:00:00,-0.6035551
2023-01-16 11:00:00,-0.7314384
2023-01-16 12:00:00,-0.8258372
2023-01-16 13:00:00,-0.7668875
2023-01-16 14:00:00,-0.4012876
2023-01-16 15:00:00,-0.11449646
2023-01-16 16:00:00,0.23951031
2023-01-16 17:00:00,0.47346908
2023-01-16 18:00:00,0.49795863
2023-01-16 19:00:00,0.34922898
2023-01-16 20:00:00,0.11666576
2023-01-16 21:00:00,-0.1116356
2023-01-16 22:00:00,-0.32516634
2023-01-16 23:00:00,-0.4748798
2023-01-17 00:00:00,-0.59477466
2023-01-17 01:00:00,-0.6689219
2023-01-17 02:00:00,-0.5978942
2023-01-17 03:00:00,-0.35485134
2023-01-17 04:00:00,-0.13403316
2023-01-17 05:00:00,0.11293658
2023-01-17 06:00:00,0.1964373
2023-01-17 07:00:00,0.10314487
2023-01-17 08:00:00,-0.07828513
2023-01-17 09:00:00,-0.28210562
2023-01-17 10:00:00,-0.4611478
2023-01-17 11:00:00,-0.6092675
2023-01-17 12:00:00,-0.7405747
